title,views,date_time,video_link,thumbnail_link
"GeeksforGeeks Premium | 35+ Courses, Ad-Free Learning, A.I. Bot, Text Summarisation & more",57K views,4 months ago,/watch?v=P_ZxK9dTyeA,https://i.ytimg.com/vi/P_ZxK9dTyeA/hqdefault.jpg
Master Competitive Programming with this RoadMap | *Free Resources Inside*,7K views,5 months ago,/watch?v=lozDmn15zcw,https://i.ytimg.com/vi/lozDmn15zcw/hqdefault.jpg
These Projects give you an UNFAIR ADVANTAGE | Get Placed in 2024,6K views,5 months ago,/watch?v=KY73lTNeWzI,https://i.ytimg.com/vi/KY73lTNeWzI/hqdefault.jpg
"I went to the House of a Google Project Manager | Life at Google |Project Management Roadmap, Salary",560K views,5 months ago,/watch?v=cC8MjoYGedk,https://i.ytimg.com/vi/cC8MjoYGedk/hqdefault.jpg
Is the Tech Recession finally over? | Massive Tech Layoffs & Recession | How to get a job in 2024?,5.3K views,5 months ago,/watch?v=wolOoIsBnew,https://i.ytimg.com/vi/wolOoIsBnew/hqdefault.jpg
Master Software Testing & Automation | Career in Testing | GeeksforGeeks,1K views,5 months ago,/watch?v=b3uovZLWkVM,https://i.ytimg.com/vi/b3uovZLWkVM/hqdefault.jpg
🚀 Please Watch this Video if you are a College Student | Get Placed in 2024,2.5K views,5 months ago,/watch?v=9Fx3wGat0Fg,https://i.ytimg.com/vi/9Fx3wGat0Fg/hqdefault.jpg
Python Fundamentals and its Applications with GeeksforGeeks,4.2K views,5 months ago,/watch?v=qzyTwGpDYog,https://i.ytimg.com/vi/qzyTwGpDYog/hqdefault.jpg
(Not Clickbait) Learn Recursion in just 300 seconds 😮 | DSA Made Simple,1.5K views,5 months ago,/watch?v=Bi_rfJLf-jA,https://i.ytimg.com/vi/Bi_rfJLf-jA/hqdefault.jpg
From Tier 3 College to 20LPA Package 🤑 at Harman as a Senior Software Engineer | My Journey,5.5K views,5 months ago,/watch?v=cGPpUdaISGE,https://i.ytimg.com/vi/cGPpUdaISGE/hqdefault.jpg
How I Built an AirBnb Clone from Scratch | MERN Stack Project | GeeksforGeeks,8.5K views,6 months ago,/watch?v=koTBLYNq63I,https://i.ytimg.com/vi/koTBLYNq63I/hqdefault.jpg
"Master Web3 in 2024 (The Ultimate Roadmap) | Block Chain, Crypto Currency |",2K views,6 months ago,/watch?v=CKrM5ouILBg,https://i.ytimg.com/vi/CKrM5ouILBg/hqdefault.jpg
🚀 Do This to Learn DSA and Get a Job | *Free Resources Inside* | The Ultimate DSA Roadmap 📚,4.7K views,6 months ago,/watch?v=VdLUuIeuXqM,https://i.ytimg.com/vi/VdLUuIeuXqM/hqdefault.jpg
"Sorting Algorithms Full Course | Bubble, Selection, Insertion Sort & More | DSA Free Videos Complete",9.9K views,6 months ago,/watch?v=IsBMyMch0gw,https://i.ytimg.com/vi/IsBMyMch0gw/hqdefault.jpg
"IIT Grads reveal TOP PLACEMENT SECRETS 🤯 | Advice, Get Job in 2024, Salary, Roadmap, Life at IIT",12K views,6 months ago,/watch?v=HqqF_4yORKU,https://i.ytimg.com/vi/HqqF_4yORKU/hqdefault.jpg
I Went to the House of a Recent IIT BOMBAY Grad & AI Researcher at Sprinklr | House Invasion Ep-1🚀,17K views,6 months ago,/watch?v=xvBlkjtmvBc,https://i.ytimg.com/vi/xvBlkjtmvBc/hqdefault.jpg
Time and Space Complexity explained in literally 5 minutes | Big O | Concepts made simple ep -1,30K views,6 months ago,/watch?v=jOMxKsUd6e0,https://i.ytimg.com/vi/jOMxKsUd6e0/hqdefault.jpg
"JAVA Backend Live Classes | Master OOPs, Spring Boot & Practice with Projects | GeeksforGeeks",1M views,6 months ago,/watch?v=y5sN2D4Zkmo,https://i.ytimg.com/vi/y5sN2D4Zkmo/hqdefault.jpg
How to participate and win any Hackathon - A Complete Guide | What are Hackathons? | Top 5 Hackathon,4.3K views,6 months ago,/watch?v=_yNtUwnvHio,https://i.ytimg.com/vi/_yNtUwnvHio/hqdefault.jpg
Do this to get a 15+ LPA job right after BCA!! | BCA VS BTECH | Is BCA worth it in 2024?,2.1K views,6 months ago,/watch?v=w95555WsTMI,https://i.ytimg.com/vi/w95555WsTMI/hqdefault.jpg
